year,season_type,game_id,team,opp,week,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa,attempts_rb,yards_rb,td_rb,epa_rb,attempts_qb_designed,yards_qb_designed,td_qb_designed,epa_qb_designed,attempts_qb_scramble,yards_qb_scramble,td_qb_scramble,epa_qb_scramble,attempts_qb_kneel,yards_qb_kneel,epa_qb_kneel,attempts_wr,yards_wr,td_wr,epa_wr,attempts_other,yards_other,td_other,epa_other
2020,REG,2020_01_GB_MIN,MIN,GB,1,22,134,2,0,0,0,6.296275620814413,18,100,2,0,0,0,4.573577231611125,4,34,0,0,0,0,1.7226983892032879,0,0,0,0,0,0,0.0,22,134,2,0,0,0,6.296275620814413,18,100,2,4.573577231611125,0,0,0,0.0,4,34,0,1.7226983892032879,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_HOU_KC,HOU,KC,1,22,118,2,0,0,0,5.319069431337994,17,92,2,0,0,0,5.272302797471639,4,27,0,0,0,0,0.0467666338663546,1,-1,0,0,0,0,0.0,21,119,2,0,0,0,5.319069431337994,16,91,1,3.909885317843873,1,1,1,1.3624174796277655,4,27,0,0.0467666338663546,1,-1,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_HOU_KC,KC,HOU,1,34,166,1,0,0,0,0.33477883275421516,34,166,1,0,0,0,0.33477883275421516,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,34,166,1,0,0,0,0.33477883275421516,33,163,1,0.5502193006273377,0,0,0,0.0,0,0,0,0.0,0,0,0.0,1,3,0,-0.21544046787312252,0,0,0,0.0
2020,REG,2020_01_IND_JAX,IND,JAX,1,22,88,1,0,0,0,-6.149655672692461,21,85,1,0,0,0,-5.818668210384203,1,3,0,0,0,0,-0.3309874623082578,0,0,0,0,0,0,0.0,22,88,1,0,0,0,-6.149655672692461,20,76,1,-5.5685185349721005,0,0,0,0.0,1,3,0,-0.3309874623082578,0,0,0.0,1,9,0,-0.25014967541210353,0,0,0,0.0
2020,REG,2020_01_IND_JAX,JAX,IND,1,23,91,0,0,0,0,-2.3381085791625082,18,72,0,0,0,0,-1.4485169993713498,4,22,0,0,0,0,-0.8895915797911584,1,-3,0,0,0,0,0.0,22,94,0,0,0,0,-2.3381085791625082,16,62,0,-1.6219016572576948,0,0,0,0.0,4,22,0,-0.8895915797911584,1,-3,0.0,2,10,0,0.17338465788634494,0,0,0,0.0
2020,REG,2020_01_LAC_CIN,CIN,LAC,1,28,122,1,2,1,1,-8.479621745180339,24,107,1,2,1,1,-7.119627832667902,4,15,0,0,0,0,-1.3599939125124365,0,0,0,0,0,0,0.0,28,122,1,2,1,1,-8.479621745180339,20,76,0,-8.698419434716925,4,31,1,1.5787916020490225,4,15,0,-1.3599939125124365,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_LAC_CIN,LAC,CIN,1,39,155,1,0,0,0,-6.031302094325749,36,149,1,0,0,0,-6.534418345528049,2,7,0,0,0,0,0.5031162512023001,1,-1,0,0,0,0,0.0,38,156,1,0,0,0,-6.031302094325749,33,148,1,-0.5067274292058782,3,1,0,-6.027690916322172,2,7,0,0.5031162512023001,1,-1,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_LV_CAR,CAR,LV,1,30,129,2,0,0,0,1.6380444590114847,26,103,2,0,0,0,1.094832332630176,4,26,0,0,0,0,0.5432121263813086,0,0,0,0,0,0,0.0,30,129,2,0,0,0,1.6380444590114847,23,97,2,3.0786913472111337,0,0,0,0.0,4,26,0,0.5432121263813086,0,0,0.0,1,5,0,-0.02558930404484272,2,1,0,-1.9582697105361149
2020,REG,2020_01_LV_CAR,LV,CAR,1,31,133,3,1,0,1,4.343050333292922,31,133,3,1,0,1,4.343050333292922,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,31,133,3,1,0,1,4.343050333292922,29,122,3,4.022147712268635,0,0,0,0.0,0,0,0,0.0,0,0,0.0,2,11,0,0.32090262102428824,0,0,0,0.0
2020,REG,2020_01_MIA_NE,MIA,NE,1,27,87,1,0,0,0,-2.623955743474653,23,71,1,0,0,0,-2.517612240248127,3,17,0,0,0,0,-0.1063435032265261,1,-1,0,0,0,0,0.0,26,88,1,0,0,0,-2.623955743474653,22,69,1,-3.0760771243658382,1,2,0,0.5584648841177113,3,17,0,-0.1063435032265261,1,-1,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_MIA_NE,NE,MIA,1,42,217,3,0,0,0,13.59041553049704,40,206,3,0,0,0,12.888333404037468,1,12,0,0,0,0,0.7020821264595725,1,-1,0,0,0,0,0.0,41,218,3,0,0,0,13.59041553049704,26,119,1,4.573467712450139,13,64,2,6.075049998471514,1,12,0,0.7020821264595725,1,-1,0.0,1,23,0,2.2398156931158155,0,0,0,0.0
